subjID	trial	cue	keyPressed	outcome	rt
1	105	4	1	-1	1.188364
1	106	2	0	0	0.9445211
1	107	1	1	-1	1.144131
1	108	3	1	0	1.787899
1	109	4	0	-1	1.276966
1	110	3	1	-1	2.032449
1	111	1	1	-1	1.010759
1	112	3	1	-1	1.588253
1	113	1	1	0	1.555179
1	114	3	0	0	1.277145
1	115	4	0	0	1.143988
1	116	3	1	0	2.51007
1	117	3	1	0	2.510176
1	118	3	1	-1	2.376509
1	119	2	0	0	0.8996419
1	120	2	0	0	0.8888105
1	121	3	1	0	1.788224
1	122	4	0	0	1.366024
1	123	3	1	0	2.509782
1	124	2	0	0	0.8103356
1	125	1	1	-1	2.510182
1	126	3	1	0	2.509965
1	127	3	1	0	2.509855
1	128	3	1	0	2.510179
1	129	2	0	0	0.999531
1	130	4	0	0	1.19937
1	131	1	1	0	1.055007
1	132	2	0	0	0.7887034
1	133	1	1	0	0.999649
1	134	3	1	-1	1.110557
1	135	2	0	0	0.8215092
1	136	3	1	-1	1.0661
1	137	1	1	0	0.9323888
1	138	4	0	0	0.9104109
1	139	4	0	-1	0.7883878
1	140	1	1	0	0.9772052
1	141	4	0	0	0.8551955
1	142	1	1	-1	1.010993
1	143	4	0	0	1.01082
1	144	3	1	0	1.043736
1	145	3	1	0	0.9554017
1	146	1	1	0	0.9997417
1	147	1	1	0	0.855076
1	148	4	0	-1	0.8550122
1	149	2	0	0	0.9219553
1	150	2	0	-1	0.7438566
1	151	4	0	0	0.8552069
1	152	4	0	0	0.7106588
1	153	1	1	0	0.9107496
1	154	2	0	0	0.688724
1	155	1	1	0	1.010588
1	156	3	1	0	1.021967
1	157	4	0	0	0.955247
1	158	4	0	0	0.6995159
1	159	1	1	-1	0.9548587
1	160	1	1	0	0.8108042
1	161	2	0	-1	0.6886965
1	162	3	1	-1	0.8107356
1	163	2	0	0	0.710699
1	164	4	0	0	0.9217165
1	165	1	1	0	0.8219677
1	166	3	1	0	0.9665821
1	167	3	1	0	0.833024
1	168	2	0	0	0.7769281
1	169	4	0	0	0.7551954
1	170	2	0	0	0.6995478
1	171	2	0	-1	0.7884113
1	172	4	0	-1	0.7884957
1	173	3	1	0	0.9218898
1	174	3	1	0	0.7772804
1	175	4	0	0	0.9329972
1	176	2	0	0	0.7668322
1	177	1	1	0	0.843979
1	178	2	0	0	0.6883174
1	179	2	0	0	0.6225147
1	180	1	1	0	1.04412
1	181	2	0	0	0.9110106
1	182	3	1	0	0.9771188
